sample_id,cs_flow_rate,pb_flow_rate,temperature,residence_time,plqy,emission_peak,fwhm,quality_class,pl_peak_wavelength,pl_peak_intensity,pl_integrated_intensity,pl_fwhm_calculated,abs_edge_wavelength,abs_peak_intensity,abs_integrated,stokes_shift,pl_symmetry,baseline_level
17,0.6,0.83,110.0,203.3,0.6539,517.36,35.47,good,516.4705882352941,1.0,60.234228115341224,37.64705882352945,400.0,1.0,122.58775160385369,116.47058823529414,0.8484496799359795,0.06620366471136789
18,0.71,1.18,148.9,160.8,0.586,515.7,36.49,fair,516.4705882352941,1.0,59.43259446624512,38.82352941176475,400.0,1.0,123.03113222337488,116.47058823529414,0.9106202830823868,0.07695718291324387
19,1.46,1.67,108.7,137.3,0.672,515.83,35.2,good,514.1176470588235,1.0,57.89308259875601,36.470588235294144,400.0,1.0,121.97982781006841,114.11764705882354,0.8241128772500497,0.061877416497299186
20,0.6,1.34,160.9,136.7,0.5984,516.83,34.92,fair,515.2941176470588,1.0,57.48620635949629,36.470588235294144,400.0,1.0,128.43241472901758,115.29411764705878,0.8330290848838524,0.0632279732565447
21,1.67,1.09,130.5,129.6,0.8595,512.84,30.85,excellent,514.1176470588235,1.0,42.64966740660373,30.58823529411768,400.0,1.0,121.97462684521551,114.11764705882354,0.9914496866034122,0.03845242483609354
22,0.95,1.52,170.9,123.8,0.3338,518.75,45.31,poor,522.3529411764706,1.0,87.83326741865622,57.64705882352939,400.0,1.0,118.48736329814491,122.35294117647061,0.9655045348388651,0.15283866188622858
23,0.76,0.83,110.0,120.0,0.7069,513.39,34.92,good,514.1176470588235,1.0,55.08226125464702,34.117647058823536,400.0,1.0,120.1108693510735,114.11764705882354,0.9211907599974524,0.06237354850047803
24,0.51,1.35,182.8,119.2,0.531,517.99,44.46,fair,515.2941176470588,1.0,71.62471560958649,50.588235294117624,400.0,1.0,122.80820107663037,115.29411764705878,0.8257048049967506,0.10251271566347067
25,0.6,0.7,175.5,220.0,0.6544,515.2,29.51,good,512.9411764705883,1.0,48.611409657414214,29.411764705882376,400.0,1.0,126.03839677832462,112.94117647058829,0.7887487056442631,0.07081493267804564
26,0.76,0.83,175.5,220.0,0.5372,517.02,33.38,fair,516.4705882352941,1.0,62.67998787315149,32.94117647058823,400.0,1.0,123.94007612285117,116.47058823529414,0.8385883770735941,0.10655098178511498
27,0.76,0.7,110.0,136.7,0.811,514.73,29.97,excellent,512.9411764705883,1.0,46.82430986261838,29.41176470588232,400.0,1.0,122.65563403725073,112.94117647058829,0.8336401897913774,0.0602642680150838
28,0.6,1.47,160.9,103.3,0.6676,519.43,36.98,good,520.0,1.0,57.2859147315572,41.17647058823536,400.0,1.0,126.03999637364461,120.0,0.93034289458431,0.0731344048026838
29,0.6,0.7,124.5,220.0,0.7887,511.83,29.39,excellent,511.7647058823529,1.0,44.19537815240345,28.235294117647072,400.0,1.0,123.05615118264268,111.76470588235293,0.9268130514726137,0.0480238824065968
30,0.6,1.34,124.5,203.3,0.5031,517.09,42.44,fair,516.4705882352941,1.0,70.91347678911349,44.70588235294116,400.0,1.0,128.32194669832003,116.47058823529414,0.8670074984191908,0.10582211296951907
31,0.6,1.6,182.7,136.7,0.5283,518.12,42.76,fair,520.0,1.0,73.71057893327657,45.88235294117652,400.0,1.0,123.00250636742112,120.0,0.9243948315946103,0.10442366791680543
32,0.6,1.21,175.5,103.3,0.4734,520.53,43.9,fair,517.6470588235294,1.0,73.73232196014426,51.764705882352985,400.0,1.0,128.27657019569833,117.64705882352939,0.8367938219724951,0.08548756800704527
33,0.6,1.6,153.6,186.7,0.3336,521.76,47.72,poor,520.0,1.0,87.48368022469296,55.29411764705884,400.0,1.0,120.58971327583843,120.0,0.853048628975017,0.15662122043012788
34,0.76,0.83,110.0,70.0,0.6202,517.96,39.24,good,521.1764705882354,1.0,60.65965502314694,41.176470588235304,400.0,1.0,122.46542873046255,121.17647058823536,0.988175253063528,0.055146187367312416
35,0.6,1.09,175.5,70.0,0.6409,516.84,41.72,good,514.1176470588235,1.0,61.7216350348545,43.52941176470591,400.0,1.0,121.38174200545875,114.11764705882354,0.7927161167894637,0.06902975411086466
36,1.0,1.55,184.4,247.1,0.4282,519.21,41.2,fair,518.8235294117648,1.0,72.34129264273449,48.23529411764707,400.0,1.0,121.06520127902381,118.82352941176475,0.8966327172882902,0.07264803960012886
37,1.29,1.16,136.8,166.9,0.8878,512.48,24.05,excellent,512.9411764705883,1.0,37.16470797258346,24.705882352941217,400.0,1.0,116.62396972545129,112.94117647058829,0.955066971193553,0.03621173076932899
38,0.76,0.7,190.0,203.3,0.7302,515.73,28.93,good,515.2941176470588,1.0,46.94590458820365,29.411764705882376,400.0,1.0,122.41273388795454,115.29411764705878,0.8785349810992331,0.04764560484389735
39,0.6,0.96,117.3,136.7,0.5556,516.39,43.57,fair,521.1764705882354,1.0,68.884405851297,48.23529411764707,400.0,1.0,122.47453797495342,121.17647058823536,0.9828074292171344,0.10695929661164175
40,0.6,0.83,110.0,136.7,0.7915,514.15,31.9,excellent,514.1176470588235,1.0,46.8336548547537,30.588235294117624,400.0,1.0,120.74465046550995,114.11764705882354,0.9221720725701463,0.044352827905656436
41,1.05,1.34,128.4,212.7,0.7611,513.49,33.66,excellent,510.5882352941177,1.0,48.90377307090937,34.117647058823536,400.0,1.0,120.09619049658754,110.58823529411768,0.770280800175136,0.04755533281287348
42,0.6,0.96,117.3,86.7,0.5161,517.39,41.57,fair,515.2941176470588,1.0,66.27506139955636,41.17647058823536,400.0,1.0,126.2879025789602,115.29411764705878,0.8179700921940658,0.10001794546595566
43,0.6,1.21,182.7,153.3,0.6228,516.82,37.39,good,520.0,1.0,58.53323228037215,38.82352941176475,400.0,1.0,123.729458321334,120.0,0.9769907280276761,0.06980029314515071
44,1.68,1.77,144.6,172.7,0.8643,515.62,25.57,excellent,514.1176470588235,1.0,37.59537753526922,25.882352941176464,400.0,1.0,123.11035146277331,114.11764705882354,0.8468138251737498,0.04184156036752868
45,0.6,1.47,182.7,136.7,0.5115,519.12,41.8,fair,522.3529411764706,1.0,61.57298920192129,43.529411764705856,400.0,1.0,128.9298325342945,122.35294117647061,0.959263355512483,0.0732083227678916
46,0.6,1.21,124.5,186.7,0.5499,519.27,37.8,fair,522.3529411764706,1.0,70.2056452802005,42.352941176470665,400.0,1.0,126.42904246930826,122.35294117647061,0.9597405634965945,0.12471269388235647
47,0.6,1.6,139.1,220.0,0.5359,515.63,43.33,fair,520.0,1.0,73.75518465693273,47.058823529411825,400.0,1.0,124.42293126692098,120.0,0.9926308469897356,0.1202439798961864
48,0.6,0.7,160.9,70.0,0.7647,516.49,29.23,excellent,518.8235294117648,1.0,43.19446448585454,28.235294117647072,400.0,1.0,122.19760291747015,118.82352941176475,0.964870646014672,0.04398706926396136
49,1.98,1.62,134.8,147.9,0.92,510.67,24.37,excellent,510.5882352941177,1.0,35.1311471744883,23.529411764705912,400.0,1.0,118.85149545765127,110.58823529411768,0.9068539378975037,0.03752920652058246
50,1.84,0.9,184.0,120.3,0.5234,516.99,44.13,fair,511.7647058823529,1.0,72.14382216342722,49.411764705882376,400.0,1.0,123.29581392763465,111.76470588235293,0.7492041804899969,0.10360692553984915
51,0.6,0.96,110.0,186.7,0.4595,519.32,42.86,fair,516.4705882352941,1.0,75.06025874772453,51.76470588235293,400.0,1.0,125.93357240702053,116.47058823529414,0.8177822843885909,0.10505265484261435
52,0.63,1.16,108.3,111.9,0.329,520.84,50.1,poor,522.3529411764706,1.0,83.66788718648282,54.11764705882348,400.0,1.0,117.90460245833366,122.35294117647061,0.9277855511164891,0.13376401410605773
53,0.6,0.83,175.5,103.3,0.5872,517.6,36.94,fair,518.8235294117648,1.0,63.50687060880639,40.0,400.0,1.0,127.57312280534454,118.82352941176475,0.9247552745121194,0.09424236816755616
54,0.6,1.6,153.6,220.0,0.5335,517.25,36.57,fair,518.8235294117648,1.0,63.258004194690166,40.0,400.0,1.0,125.3909027374988,118.82352941176475,0.9130092216048121,0.08553512161092625
55,1.65,1.54,120.1,113.4,0.5899,518.98,36.16,fair,518.8235294117648,1.0,69.52731417233392,41.176470588235304,400.0,1.0,125.76128466704257,118.82352941176475,0.8743144904205835,0.13212037942337318
56,2.08,1.14,112.9,92.3,0.5017,516.64,42.93,fair,522.3529411764706,1.0,78.64149727836381,48.23529411764713,400.0,1.0,123.0473971907212,122.35294117647061,0.9887124938849845,0.11416521038222312
57,1.06,0.91,124.8,99.5,0.8605,513.22,26.09,excellent,512.9411764705883,1.0,35.93477448227329,25.882352941176464,400.0,1.0,120.91980616334028,112.94117647058829,0.9032155755378128,0.03241786709426369
58,0.76,0.83,182.7,103.3,0.5817,518.51,34.42,fair,516.4705882352941,1.0,58.773593979132,35.29411764705884,400.0,1.0,125.89776076553309,116.47058823529414,0.7908756697756976,0.0691821509423621
59,0.6,1.09,110.0,86.7,0.4729,518.58,49.02,fair,518.8235294117648,1.0,82.49186372120421,57.64705882352939,400.0,1.0,121.91942963581658,118.82352941176475,0.9150314858209059,0.09905488398679566
60,1.49,1.13,158.0,66.3,0.92,515.07,19.83,excellent,515.2941176470588,1.0,32.24802650197755,18.823529411764753,400.0,1.0,122.07686829943177,115.29411764705878,0.9071587508972194,0.0345574555195876
61,0.6,1.34,160.9,203.3,0.5135,517.34,42.24,fair,516.4705882352941,1.0,73.97938293910964,43.52941176470597,400.0,1.0,128.37700530150062,116.47058823529414,0.8447337550781924,0.11093612854095933
62,1.91,1.1,172.3,118.7,0.7401,511.29,31.39,good,512.9411764705883,1.0,48.454696005699816,29.41176470588232,400.0,1.0,120.27642171149483,112.94117647058829,0.9711433429092581,0.06141870303131246
63,0.76,0.83,110.0,220.0,0.6867,514.92,34.47,good,514.1176470588235,1.0,52.635184885843145,36.470588235294144,400.0,1.0,119.70452168812973,114.11764705882354,0.8598092581080996,0.05250894781019626
64,1.42,1.16,174.9,200.2,0.8151,514.26,23.87,excellent,515.2941176470588,1.0,38.59544287162326,23.529411764705856,400.0,1.0,122.7087711494618,115.29411764705878,0.9519306553280696,0.04179769705308236
65,0.5,1.12,117.6,214.1,0.4229,519.72,46.49,fair,516.4705882352941,1.0,78.67835337647094,51.76470588235287,400.0,1.0,127.79685884996555,116.47058823529414,0.7966444207195466,0.09396909004843643
66,0.76,0.7,124.5,186.7,0.7847,515.33,29.62,excellent,516.4705882352941,1.0,43.16249307691463,28.235294117647015,400.0,1.0,123.95879254812469,116.47058823529414,0.9568154434085554,0.03741744165388597
67,0.81,0.75,188.7,158.1,0.6542,516.34,33.47,good,518.8235294117648,1.0,55.28272641712205,36.470588235294144,400.0,1.0,124.29051711228777,118.82352941176475,0.9698110418164608,0.061066090963839234
68,0.6,0.7,190.0,86.7,0.689,514.18,33.07,good,514.1176470588235,1.0,50.896952389140374,36.470588235294144,400.0,1.0,119.64141433946435,114.11764705882354,0.8863754850433401,0.0618945386226377
69,2.17,0.64,141.1,100.0,0.6742,513.2,52.54,good,514.1176470588235,1.0,69.32663132155234,54.117647058823536,400.0,1.0,120.00580721107708,114.11764705882354,0.9483452077082858,0.04200996487783905
70,1.84,1.2,155.2,65.6,0.875,514.05,25.66,excellent,515.2941176470588,1.0,35.92170389726444,23.529411764705856,400.0,1.0,120.47553672331415,115.29411764705878,0.9878872643091837,0.03350444587292027
71,0.6,1.09,124.5,120.0,0.5381,516.22,41.06,fair,517.6470588235294,1.0,69.77125240081902,48.23529411764713,400.0,1.0,120.36417565957045,117.64705882352939,0.9057887247545411,0.07836846896955427
72,0.92,1.41,164.5,179.9,0.6426,515.36,40.64,good,518.8235294117648,1.0,60.20937309522432,43.529411764705856,400.0,1.0,122.88866460626602,118.82352941176475,0.9865483805940376,0.055362212159895285
73,0.76,0.7,175.5,136.7,0.8192,515.56,24.42,excellent,515.2941176470588,1.0,35.72498633760199,23.529411764705856,400.0,1.0,121.03386454027255,115.29411764705878,0.9039397495017236,0.039250940721916434
74,0.6,1.47,131.8,153.3,0.5479,518.21,42.64,fair,518.8235294117648,1.0,73.20490146957992,47.05882352941177,400.0,1.0,121.52115140743452,118.82352941176475,0.8928411440804512,0.10494342787304103
75,0.6,0.96,168.2,136.7,0.5435,517.62,37.63,fair,518.8235294117648,1.0,65.97310349836623,40.00000000000006,400.0,1.0,123.76659221970887,118.82352941176475,0.8989260435684266,0.09860695240884157
76,0.92,1.14,153.1,190.9,0.7621,519.09,31.95,excellent,521.1764705882354,1.0,46.55212125463301,32.941176470588175,400.0,1.0,125.3307199718862,121.17647058823536,0.9756659386775164,0.052058112913469325
77,0.6,1.47,153.6,186.7,0.4849,519.74,43.23,fair,516.4705882352941,1.0,77.66523182685296,48.235294117647015,400.0,1.0,127.63270941860159,116.47058823529414,0.8121363971682267,0.0900539595234547
78,0.6,1.09,110.0,203.3,0.6187,516.63,40.97,good,511.7647058823529,1.0,64.1608794932991,40.0,400.0,1.0,122.45025964972918,111.76470588235293,0.7315936128531535,0.06491213092031178
79,1.11,1.27,169.1,203.1,0.6874,516.13,32.91,good,520.0,1.0,52.597621945223175,32.94117647058829,400.0,1.0,124.68014588161088,120.0,0.958869226225808,0.06547683652755928
80,0.6,0.7,153.6,220.0,0.5621,517.46,32.3,fair,517.6470588235294,1.0,62.851980627656374,34.11764705882348,400.0,1.0,123.21604358846913,117.64705882352939,0.8988931685131525,0.10862830757617906
81,0.6,1.6,117.3,186.7,0.633,518.69,42.28,good,520.0,1.0,64.54117746262314,44.70588235294122,400.0,1.0,125.54532938702614,120.0,0.9283000415211694,0.07044707354078059
82,1.92,1.38,144.4,246.3,0.8101,515.49,24.36,excellent,516.4705882352941,1.0,39.08383908628731,24.705882352941103,400.0,1.0,120.06525689949206,116.47058823529414,0.961275189274149,0.05710175203913589
83,0.98,1.09,112.6,95.4,0.6851,514.3,33.47,good,516.4705882352941,1.0,55.82470643451439,35.2941176470589,400.0,1.0,122.3339529491746,116.47058823529414,0.9575694310513335,0.06933507948760684
84,1.62,1.08,124.5,114.9,0.7196,515.06,28.36,good,515.2941176470588,1.0,45.44142130782157,25.882352941176464,400.0,1.0,121.15690494145284,115.29411764705878,0.9091948856367853,0.06403409480267447
85,1.6,1.15,182.0,165.7,0.6849,517.04,29.02,good,517.6470588235294,1.0,47.9402356695465,30.58823529411768,400.0,1.0,126.29482844231943,117.64705882352939,0.8812984158865401,0.047632411312601625
86,0.6,0.76,190.6,172.5,0.6289,516.69,37.96,good,516.4705882352941,1.0,62.31988347510132,38.82352941176475,400.0,1.0,123.87818424869542,116.47058823529414,0.887192131829596,0.08011665809638449
87,0.6,1.09,190.0,203.3,0.4292,521.67,47.74,fair,523.5294117647059,1.0,74.69051600126554,56.47058823529409,400.0,1.0,129.04392619775666,123.52941176470586,0.9704596561908728,0.07156826941906966
88,0.6,0.96,139.1,86.7,0.5976,518.28,34.34,fair,517.6470588235294,1.0,54.40428377614032,36.470588235294144,400.0,1.0,124.96143936973996,117.64705882352939,0.8646884098533444,0.0830001409147931
89,1.8,1.22,167.0,119.3,0.92,516.5,23.9,excellent,514.1176470588235,1.0,34.3224555535033,23.529411764705912,400.0,1.0,124.02002819729229,114.11764705882354,0.7964479200724006,0.03161448078026009
90,1.18,1.76,119.6,69.2,0.5774,517.1,38.12,fair,515.2941176470588,1.0,64.71829245902713,38.82352941176475,400.0,1.0,121.61706907431375,115.29411764705878,0.8323652292949504,0.1040851529234929
91,1.19,0.88,165.2,176.8,0.92,513.53,23.81,excellent,512.9411764705883,1.0,35.838652265608324,23.529411764705856,400.0,1.0,121.70772063832378,112.94117647058829,0.8892587518498778,0.03968877400475524
92,0.6,0.83,175.5,70.0,0.6878,517.77,37.1,good,521.1764705882354,1.0,60.047852521556976,40.0,400.0,1.0,124.80395499002313,121.17647058823536,0.9911443642458552,0.08665001449242676
93,0.6,0.96,146.4,186.7,0.4357,517.77,40.25,fair,521.1764705882354,1.0,73.62541193297912,47.05882352941177,400.0,1.0,122.97783602243821,121.17647058823536,0.9667619002118006,0.09727372939899094
94,1.89,1.67,189.0,236.3,0.8837,514.66,28.6,excellent,514.1176470588235,1.0,42.98546284680083,27.058823529411768,400.0,1.0,121.07279366472834,114.11764705882354,0.8771722658486177,0.042057588213091426
95,1.2,1.52,120.6,153.3,0.6076,515.78,36.97,good,517.6470588235294,1.0,66.0857651690287,40.0,400.0,1.0,120.66644308489728,117.64705882352939,0.9206267874960101,0.08579871926998356
96,0.6,1.34,146.4,86.7,0.5664,519.94,40.4,fair,520.0,1.0,62.194182760111076,43.52941176470591,400.0,1.0,131.54867572390893,120.0,0.8966585148447463,0.04942328497660387
97,1.77,0.99,109.8,227.5,0.7715,513.6,39.32,excellent,512.9411764705883,1.0,60.81874381102189,40.0,400.0,1.0,121.89868087902823,112.94117647058829,0.8912721768473157,0.06710477452883758
98,2.01,1.03,159.4,91.2,0.5761,511.7,37.61,fair,510.5882352941177,1.0,60.46516133988482,36.47058823529409,400.0,1.0,119.63078649891241,110.58823529411768,0.8427949402369703,0.07797661426278782
99,1.21,1.02,118.7,175.8,0.7678,511.93,29.75,excellent,512.9411764705883,1.0,44.089406527765185,28.235294117647072,400.0,1.0,119.330702389362,112.94117647058829,0.9605332147028574,0.04087515504197706
100,0.6,1.6,160.9,170.0,0.3659,519.95,41.89,poor,518.8235294117648,1.0,89.34676563094753,55.29411764705878,400.0,1.0,117.04488869049786,118.82352941176475,0.8329935379851103,0.14665850424851642
101,0.76,0.7,131.8,120.0,0.92,511.77,28.15,excellent,510.5882352941177,1.0,42.23495243654617,28.235294117647072,400.0,1.0,118.72349970184658,110.58823529411768,0.8515087407226452,0.04608485488943041
102,0.6,1.09,153.6,220.0,0.5056,516.06,40.91,fair,518.8235294117648,1.0,70.1437818868677,44.70588235294116,400.0,1.0,123.16161648012523,118.82352941176475,0.935027453912364,0.08116086707084641
103,1.7,0.89,145.2,139.9,0.7421,514.52,34.34,good,514.1176470588235,1.0,49.24272940305612,34.117647058823536,400.0,1.0,119.80456143651223,114.11764705882354,0.8745951550915729,0.04198025026463333
104,0.6,0.83,190.0,220.0,0.4684,517.94,41.64,fair,520.0,1.0,70.3498870208279,44.70588235294116,400.0,1.0,125.64517409604339,120.0,0.9553013601115515,0.08488556820352999
105,0.6,1.6,131.8,220.0,0.5219,518.7,41.05,fair,517.6470588235294,1.0,70.39740399583141,43.52941176470597,400.0,1.0,123.34360829762468,117.64705882352939,0.8370478903138908,0.100732541546586
106,0.6,1.34,124.5,70.0,0.4716,518.65,39.58,fair,522.3529411764706,1.0,69.7097398306511,44.70588235294122,400.0,1.0,129.068041573623,122.35294117647061,0.974920555567214,0.0739103116348335
107,0.6,0.96,117.3,170.0,0.5483,518.51,38.4,fair,521.1764705882354,1.0,62.694984680960864,38.823529411764696,400.0,1.0,128.26560830004814,121.17647058823536,0.9668699024041668,0.10021725611057657
108,0.6,1.34,117.3,86.7,0.608,517.22,42.09,good,520.0,1.0,63.3494272817136,44.70588235294116,400.0,1.0,119.5965010606498,120.0,0.989869244490284,0.07100589312584857
109,0.6,1.21,153.6,136.7,0.5704,519.57,39.1,fair,516.4705882352941,1.0,65.04575276847822,41.17647058823536,400.0,1.0,126.86672801024217,116.47058823529414,0.7941991062050981,0.08463001328946597
110,0.6,1.47,146.4,86.7,0.4352,519.95,46.04,fair,520.0,1.0,84.6523236789462,54.11764705882348,400.0,1.0,130.28830150202174,120.0,0.8986843863594903,0.1069198800016999
111,1.03,1.13,171.2,203.7,0.8187,516.92,25.95,excellent,517.6470588235294,1.0,38.40052612530475,25.882352941176464,400.0,1.0,125.85978148945763,117.64705882352939,0.9576896603794061,0.0535616020705864
112,0.76,0.7,168.2,86.7,0.92,511.98,22.68,excellent,512.9411764705883,1.0,34.774426389325264,22.35294117647055,400.0,1.0,118.11763669465783,112.94117647058829,0.9669235273776523,0.031015111248499767
113,2.18,0.71,183.6,122.6,0.5134,515.35,54.61,fair,514.1176470588235,1.0,82.09848098130274,56.470588235294144,400.0,1.0,124.94675798650516,114.11764705882354,0.8609566306267346,0.09264381637083258
114,0.6,1.47,131.8,220.0,0.3682,519.58,46.31,poor,525.8823529411765,1.0,81.28740143803454,52.94117647058823,400.0,1.0,113.80207732085304,125.88235294117646,0.9680682935786605,0.12473418657948751
115,0.6,1.09,124.5,103.3,0.4675,521.01,44.75,fair,521.1764705882354,1.0,82.1548555132031,54.117647058823536,400.0,1.0,130.02441189882268,121.17647058823536,0.9105961877905256,0.1196379825121275
116,0.76,0.83,124.5,120.0,0.918,512.32,24.16,excellent,511.7647058823529,1.0,36.455619339304064,24.705882352941217,400.0,1.0,119.29413851960375,111.76470588235293,0.8809967876310342,0.04199949086558491
117,0.76,0.7,117.3,120.0,0.7872,514.88,28.37,excellent,512.9411764705883,1.0,43.812396617467826,29.41176470588232,400.0,1.0,123.21325093683599,112.94117647058829,0.8252233620977392,0.04317945260094409
118,0.6,0.96,190.0,103.3,0.5512,519.94,41.89,fair,518.8235294117648,1.0,70.71864546287453,44.70588235294116,400.0,1.0,121.84674456939153,118.82352941176475,0.8669147837605007,0.1105111998324102
119,1.7,1.55,118.7,217.3,0.7588,516.75,33.24,excellent,517.6470588235294,1.0,49.319046189094685,32.94117647058823,400.0,1.0,126.08343355139834,117.64705882352939,0.974699474935171,0.05511217857931404
120,0.74,1.56,129.1,239.9,0.5282,518.23,40.94,fair,518.8235294117648,1.0,70.03832821540874,45.882352941176464,400.0,1.0,127.01245951942843,118.82352941176475,0.9187476114133776,0.10460498676435552
121,0.76,0.7,160.9,170.0,0.875,509.8,19.93,excellent,509.4117647058824,1.0,33.29100630055412,20.0,400.0,1.0,116.02111295024089,109.41176470588238,0.8542309144940997,0.04111270880690952
122,0.76,0.83,124.5,186.7,0.7544,513.84,32.54,excellent,510.5882352941177,1.0,53.75951694601864,34.117647058823536,400.0,1.0,120.90138094639688,110.58823529411768,0.7680080531024019,0.05703352967896217
123,0.6,1.21,117.3,136.7,0.5928,515.31,40.17,fair,517.6470588235294,1.0,64.6928565712754,41.176470588235304,400.0,1.0,121.6753969591356,117.64705882352939,0.9464491103045152,0.07475063141956216
124,0.6,1.09,131.8,120.0,0.4954,520.59,40.45,fair,518.8235294117648,1.0,75.01682340792703,47.05882352941177,400.0,1.0,129.1398023921855,118.82352941176475,0.8468686841921387,0.10652027411333564
125,1.29,1.59,121.3,218.8,0.7801,513.09,32.7,excellent,518.8235294117648,1.0,42.067518892949195,28.235294117647015,400.0,1.0,121.16999847872906,118.82352941176475,0.8675447566080393,0.0497690254596526
126,0.6,1.09,182.7,136.7,0.5863,520.32,37.54,fair,521.1764705882354,1.0,58.4288512135664,37.64705882352945,400.0,1.0,127.3645658524335,121.17647058823536,0.9325827774720841,0.07514082091705952
127,0.6,1.6,139.1,170.0,0.5782,519.74,38.93,fair,521.1764705882354,1.0,67.37719532488308,42.35294117647061,400.0,1.0,126.06815808351249,121.17647058823536,0.9356426599649281,0.08116812060218963
128,0.76,0.83,190.0,120.0,0.6856,518.02,34.79,good,518.8235294117648,1.0,55.45233599113913,37.64705882352945,400.0,1.0,126.11141509711476,118.82352941176475,0.9058539657342006,0.06573514374449034
129,0.6,1.09,110.0,170.0,0.5658,516.26,42.2,fair,514.1176470588235,1.0,65.280045299717,45.88235294117652,400.0,1.0,123.32686514818619,114.11764705882354,0.825233035975984,0.07474547839905754
130,2.1,0.68,111.8,190.7,0.6175,511.76,47.65,good,516.4705882352941,1.0,64.93964317992868,48.235294117647015,400.0,1.0,121.25426907312945,116.47058823529414,0.9588607656991543,0.04727474444692731
131,1.1,1.29,103.7,170.4,0.5268,517.16,39.39,fair,518.8235294117648,1.0,64.1324344073338,44.70588235294122,400.0,1.0,124.44728082150407,118.82352941176475,0.9136260234285329,0.08829172042870258
132,0.6,1.47,124.5,136.7,0.4277,518.88,47.12,fair,515.2941176470588,1.0,89.25891631633361,58.82352941176464,400.0,1.0,127.26510768246662,115.29411764705878,0.8084146209333538,0.12553484119075944
